,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
12510,,Failure to Yield Right-of-Way,Unspecified,,2015-12-16,,,1,0,0,0,NAVY STREET                     ,PARK AVENUE                     ,11.0,3354300,PASSENGER VEHICLE,BICYCLE
12511,BROOKLYN,View Obstructed/Limited,View Obstructed/Limited,,2015-12-16,40.700233600000004,-73.9598709,1,0,0,0,RUTLEDGE STREET                 ,WYTHE AVENUE                    ,14.166666666666666,3354308,PASSENGER VEHICLE,BICYCLE
12512,MANHATTAN,Unspecified,Unspecified,,2014-05-15,40.7460038,-73.9942618,1,0,0,0,7 AVENUE                        ,WEST 26 STREET                  ,13.833333333333334,335436,OTHER,BICYCLE
12513,QUEENS,Unspecified,Unspecified,,2015-12-15,40.741714200000004,-73.9063323,1,0,0,0,59 STREET                       ,QUEENS BOULEVARD                ,6.25,3354417,UNKNOWN,BICYCLE
12514,QUEENS,Failure to Yield Right-of-Way,Unspecified,,2015-12-15,40.759295200000004,-73.92645309999999,1,0,0,0,34 AVENUE                       ,32 STREET                       ,19.25,3354498,PASSENGER VEHICLE,BICYCLE
12515,QUEENS,Driver Inattention/Distraction,Unspecified,,2015-12-16,40.7558009,-73.8653449,1,0,0,0,103 STREET                      ,34 AVENUE                       ,16.0,3354518,PASSENGER VEHICLE,BICYCLE
12516,MANHATTAN,Driver Inattention/Distraction,Passenger Distraction,,2015-12-16,40.7607762,-74.0021839,1,0,0,0,WEST 40 STREET                  ,JOE DIMAGGIO HIGHWAY            ,22.0,3354588,TAXI,BICYCLE
12517,MANHATTAN,Unspecified,Unspecified,,2015-12-16,40.758632899999995,-73.9657843,1,0,0,0,2 AVENUE                        ,EAST 56 STREET                  ,19.2,3354622,TAXI,BICYCLE
12518,BRONX,Backing Unsafely,Driver Inattention/Distraction,,2015-12-16,40.837370799999995,-73.8877667,1,0,0,0,SOUTHERN BOULEVARD              ,EAST 174 STREET                 ,20.75,3354728,UNKNOWN,BICYCLE
12519,BROOKLYN,Unspecified,Unspecified,,2015-12-17,40.6884631,-73.95713029999999,1,0,0,0,CLIFTON PLACE                   ,FRANKLIN AVENUE                 ,22.416666666666668,3354970,PASSENGER VEHICLE,BICYCLE
12520,BROOKLYN,Driver Inattention/Distraction,Unspecified,,2015-12-17,40.693489299999996,-73.9791676,1,0,0,0,NAVY STREET                     ,MYRTLE AVENUE                   ,12.416666666666666,3354987,SPORT UTILITY / STATION WAGON,BICYCLE
12521,,Passenger Distraction,Unspecified,,2015-12-17,,,1,0,0,0,41 AVENUE                       ,JUNCTION BOULEVARD              ,12.0,3355823,VAN,BICYCLE
12522,MANHATTAN,Other Vehicular,Other Vehicular,,2014-05-15,40.76461679999999,-73.95832309999999,1,0,0,0,1 AVENUE                        ,EAST 67 STREET                  ,14.166666666666666,335500,VAN,BICYCLE
12523,MANHATTAN,Failure to Yield Right-of-Way,Unspecified,,2015-12-18,40.743429299999995,-73.9961278,1,0,0,0,WEST 22 STREET                  ,7 AVENUE                        ,16.0,3355280,PASSENGER VEHICLE,BICYCLE
